Station,Site_Timestamp,Temperature
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 07:10:00,5.98
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 08:15:00,6.46
"Königsplatz, Augsburg",2026-04-11 08:15:00,5.82
Grundschule Aystetten,2026-04-11 08:15:00,6.83
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 08:15:00,6.65
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 09:30:00,9.01
"Königsplatz, Augsburg",2026-04-11 09:30:00,8.34
Grundschule Aystetten,2026-04-11 09:30:00,9.97
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 09:30:00,9.3
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 10:20:00,11.12
"Königsplatz, Augsburg",2026-04-11 10:25:00,10.1
Grundschule Aystetten,2026-04-11 10:25:00,11.64
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 10:25:00,10.8
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 11:05:00,13.78
"Königsplatz, Augsburg",2026-04-11 11:10:00,11.45
Grundschule Aystetten,2026-04-11 11:10:00,13.67
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 11:10:00,13.03
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 11:55:00,15.52
"Königsplatz, Augsburg",2026-04-11 11:55:00,12.63
Grundschule Aystetten,2026-04-11 11:55:00,14.6
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 11:55:00,14.16
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 12:45:00,17.35
"Königsplatz, Augsburg",2026-04-11 12:50:00,14.58
Grundschule Aystetten,2026-04-11 12:50:00,16.48
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 12:50:00,16
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 13:20:00,18.62
"Königsplatz, Augsburg",2026-04-11 13:20:00,15.31
Grundschule Aystetten,2026-04-11 13:20:00,17.24
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 13:20:00,16.48
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 13:55:00,17.87
"Königsplatz, Augsburg",2026-04-11 13:55:00,16.45
Grundschule Aystetten,2026-04-11 13:55:00,18.56
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 13:55:00,17.75
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 15:15:00,20.21
"Königsplatz, Augsburg",2026-04-11 15:15:00,17.7
Grundschule Aystetten,2026-04-11 15:15:00,19.33
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 15:15:00,19.49
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 16:00:00,19.67
"Königsplatz, Augsburg",2026-04-11 16:00:00,19.08
Grundschule Aystetten,2026-04-11 16:00:00,20.27
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 16:00:00,19.69
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 16:50:00,20.19
"Königsplatz, Augsburg",2026-04-11 16:55:00,18.87
Grundschule Aystetten,2026-04-11 16:50:00,20.68
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 16:55:00,20.3
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 17:40:00,20.29
"Königsplatz, Augsburg",2026-04-11 17:40:00,18.72
Grundschule Aystetten,2026-04-11 17:40:00,20.14
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 17:40:00,20.78
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 18:15:00,19.35
"Königsplatz, Augsburg",2026-04-11 18:15:00,18.02
Grundschule Aystetten,2026-04-11 18:15:00,19.97
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 18:15:00,18.43
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 19:00:00,17.71
"Königsplatz, Augsburg",2026-04-11 19:00:00,16.92
Grundschule Aystetten,2026-04-11 19:00:00,18.38
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 19:00:00,17.07
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 19:45:00,15.13
"Königsplatz, Augsburg",2026-04-11 19:45:00,14.55
Grundschule Aystetten,2026-04-11 19:45:00,15.74
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 19:45:00,15.5
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 20:25:00,14.09
"Königsplatz, Augsburg",2026-04-11 20:25:00,13.56
Grundschule Aystetten,2026-04-11 20:25:00,14.26
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 20:25:00,14.44
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 21:20:00,13.49
"Königsplatz, Augsburg",2026-04-11 21:20:00,12.76
Grundschule Aystetten,2026-04-11 21:20:00,13.88
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 21:20:00,14.19
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 21:55:00,13.54
"Königsplatz, Augsburg",2026-04-11 21:55:00,12.63
Grundschule Aystetten,2026-04-11 21:55:00,12.59
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 21:55:00,11.71
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 22:45:00,10.94
"Königsplatz, Augsburg",2026-04-11 22:45:00,10.44
